Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Points,MU_goals
16-17,9/24/2016,Man United,Leicester,4,1,H,4,0,16,10,7,3,9,12,8,6,0,2,0,0,3,4
16-17,10/2/2016,Man United,Stoke,1,1,D,0,0,24,7,9,6,14,9,13,2,3,0,0,0,1,1
16-17,10/17/2016,Liverpool,Man United,0,0,D,0,0,9,7,3,1,14,20,3,1,0,4,0,0,1,0
16-17,10/23/2016,Chelsea,Man United,4,0,H,2,0,14,16,6,5,7,17,5,7,3,2,0,0,0,0
16-17,10/29/2016,Man United,Burnley,0,0,D,0,0,37,7,11,1,12,9,19,1,1,3,1,0,1,0
16-17,11/6/2016,Swansea,Man United,1,3,A,0,3,6,9,1,3,9,16,2,0,0,2,0,0,3,3
16-17,11/19/2016,Man United,Arsenal,1,1,D,0,0,12,5,5,1,14,11,10,4,3,3,0,0,1,1
16-17,11/27/2016,Man United,West Ham,1,1,D,1,1,17,6,8,2,16,16,8,4,3,1,0,0,1,1
16-17,12/4/2016,Everton,Man United,1,1,D,0,1,13,10,6,2,13,11,6,3,2,3,0,0,1,1
16-17,12/11/2016,Man United,Tottenham,1,0,H,1,0,15,12,5,4,19,17,3,8,3,3,0,0,3,1
16-17,12/14/2016,Crystal Palace,Man United,1,2,A,0,1,6,16,3,6,16,10,1,8,2,2,0,0,3,2
16-17,12/17/2016,West Brom,Man United,0,2,A,0,1,10,10,1,5,9,13,2,3,3,3,0,0,3,2
16-17,12/26/2016,Man United,Sunderland,3,1,H,1,0,26,7,9,4,6,9,5,5,1,1,0,0,3,3
16-17,12/31/2016,Man United,Middlesbrough,2,1,H,0,0,32,9,12,2,9,14,12,2,1,1,0,0,3,2
16-17,1/2/2017,West Ham,Man United,0,2,A,0,0,8,13,2,6,9,13,2,1,1,2,1,0,3,2
16-17,1/15/2017,Man United,Liverpool,1,1,D,0,1,9,13,3,4,17,13,5,7,1,3,0,0,1,1
16-17,1/21/2017,Stoke,Man United,1,1,D,1,0,6,25,1,8,12,13,1,7,4,0,0,0,1,1
16-17,2/1/2017,Man United,Hull,0,0,D,0,0,15,6,6,2,20,16,7,1,1,4,0,0,1,0
16-17,2/5/2017,Leicester,Man United,0,3,A,0,2,11,15,1,9,12,13,10,3,2,4,0,0,3,3
16-17,2/11/2017,Man United,Watford,2,0,H,1,0,22,9,11,3,10,12,5,1,1,0,0,0,3,2
16-17,3/4/2017,Man United,Bournemouth,1,1,D,1,1,20,3,7,1,9,11,15,2,3,2,0,1,1,1
16-17,3/19/2017,Middlesbrough,Man United,1,3,A,0,1,10,14,3,6,9,8,8,3,1,1,0,0,3,3
16-17,4/1/2017,Man United,West Brom,0,0,D,0,0,18,3,3,1,15,13,6,1,3,3,0,0,1,0
16-17,4/4/2017,Man United,Everton,1,1,D,0,1,18,11,3,4,10,18,6,5,1,4,0,1,1,1
16-17,4/9/2017,Sunderland,Man United,0,3,A,0,1,9,18,4,9,14,20,4,5,1,5,1,0,3,3
16-17,4/16/2017,Man United,Chelsea,2,0,H,1,0,9,5,3,0,16,20,1,3,3,3,0,0,3,2
16-17,4/23/2017,Burnley,Man United,0,2,A,0,2,8,12,0,6,17,16,3,3,2,1,0,0,3,2
16-17,4/27/2017,Man City,Man United,0,0,D,0,0,19,3,6,1,10,8,7,4,1,0,0,1,1,0
16-17,4/30/2017,Man United,Swansea,1,1,D,1,0,12,12,6,4,11,13,5,2,2,2,0,0,1,1
16-17,5/7/2017,Arsenal,Man United,2,0,H,0,0,9,10,4,4,14,10,5,9,1,0,0,0,0,0
16-17,5/14/2017,Tottenham,Man United,2,1,H,1,0,14,8,7,2,14,15,8,3,1,2,0,0,0,1
16-17,5/17/2017,Southampton,Man United,0,0,D,0,0,17,11,6,1,7,10,7,3,2,1,0,0,1,0
16-17,5/21/2017,Man United,Crystal Palace,2,0,H,2,0,9,6,2,1,16,10,3,6,2,0,0,0,3,2
17-18,8/13/2017,Man United,West Ham,4,0,H,1,0,22,9,6,1,19,7,11,1,2,2,0,0,3,4
